recipe_id,ingredient_id,quantity,
1,176,300,
1,100,100,
1,211,2,
1,56,1,
1,196,1,
2,210,230,
2,123,2,
2,124,10,
2,128,1,
2,147,1,
2,148,2,
2,215,1,
2,205,100,
2,44,1,
2,209,2,
3,82,2,
3,123,1.5,
3,151,2,
3,105,1/2,
3,157,2,
3,99,1/2,
3,217,1/4,
3,219,1/2,
3,109,1/2,
3,222,2,
4,127,1/2,
4,200,1/2,
4,224,1/2,
4,68,1/4,
4,161,1,
5,162,140,
5,180,30,
5,140,80,
5,66,1,
5,56,1/2,
5,123,1/2,
5,148,1,
5,19,1,
6,162,200,
6,172,1/2,
6,108,60,
6,180,30,
6,148,1,
6,226,1,
6,56,1,
6,98,1,
7,137,1,
7,9,2,
7,19,1,
7,162,200,
8,162,200,
8,136,1/2,
8,148,1,
8,19,2,
8,9,2,
8,67,30,
8,128,1,
8,22,1,
8,209,1,
8,56,1/2,
8,104,1/2,
9,123,1/2,
9,226,2,
9,135,150,
9,122,2,
9,69,1,
9,98,1,
9,196,1,
9,211,2,
9,227,1,
10,123,2,
10,148,1,
10,20,1,
10,231,1,
10,104,1,
11,232,3,
11,233,4,
11,234,1,
11,19,3,
11,148,1,
11,225,1,
12,235,1,ツナ缶
12,147,9,人参
12,117,1.5,
12,112,2,
12,97,1,醤油小さじ
13,136,1,なす
13,236,100,かぼちゃ
13,237,4,
13,238,9,
13,225,1,
13,239,1,
13,240,2,
13,182,1,
13,228,1,
13,241,300,水
14,242,200,
14,163,100,
14,159,50,
14,49,70,
14,122,3,
