recipe_id,steps_expression,steps_order
1,豚バラ肉におろしにんにくをすりこみ、胡椒を振る。,1
1,オーブンを200度に予熱しておき、豚バラ肉を入れて45分間焼く。,2
1,醤油・みりん・料理酒を混ぜ合わせ、バットまたは保存袋に入れておく。,3
1,焼きあがった豚バラ肉を調味液に浸し、粗熱が取れたら冷蔵庫に入れ、そのまま一晩おく。,4
1,味が染みたら完成。,5
2,サラダ油を弱火で熱し、ローリエとクミンシードを入れ香りを出す。,1
2,スライスしたタマネギを入れ、飴色になるまで弱火で炒める（１５分くらい）。,2
2,手羽元を入れ、白くなるまで炒める。,3
2,人参をすりおろしながら入れ、続けてヨーグルト・トマト缶を加え混ぜる。,4
2,具材が浸るまで水を加え、中火で１０分ほど煮込む。,5
2,一旦火を止め、カレールーを少しずつ加え溶かす。,6
2,味が整ったら再び中火で１０分ほど煮込み、火を止めて一晩寝かせたら完成。,7
3,じゃがいもの皮を向いてまるごと水に漬ける。（変色防止の為）,1
3,味ぽん、醤油、コチュジャン、ラー油、ごまを合わせタレを作る。,2
3,ネギを1.5cmの輪切りにする。,3
3,じゃがいもをすりおろし、塩を加える。,4
3,玉ねぎをすりおろし、輪切りにしたネギを加え、続いて小麦粉を加える。,5
3,ごま油をフライパンで熱し、中火で表裏３分ずつ焼く。,6
4,トマトとモッツアレラチーズをそれぞれ輪切りにする。,1
4,お皿にトマトとモッツアレラチーズを交互に並べ、塩コショウ・オリーブオイル・バジルをふりかける。,2
5,玉ねぎは1cmにスライス、にんにくはみじんぎりに、ベーコンは短冊切りにする。,1
5,卵をボウルの中に溶きほぐし、粉チーズを加え合わせておく。,2
5,フライパンにオリーブオイル大さじ１と手順１を加えて弱火で炒め、香りを出す,3
5,玉ねぎがしんなりし香りが出たら生クリームを加えひと煮立ちさせる。,4
5,パスタを茹でる（芯が残る固さ＝パスタの茹で時間表記よりも１分早めに火を止める）,5
5,手順4とパスタをボウルに加え、ボウルの底をパスタの茹で湯に当てて温めながら塩、オリーブオイルを加える,6
5,ぐるぐる混ぜて乳化させたら器に盛る。仕上げに黒胡椒を振って完成。,7
6,キャベツをざく切りにし、ベーコンを5ミリ幅に切る。,1
6,にんにくをみじん切りにし、唐辛子を半分に切って種を取り除いておく。,2
6,パスタを袋の表記時間通りに茹でる。,3
6,にんにくと唐辛子をオリーブオイルでじっくり炒め香りを出す（弱めの中火で）。,4
6,赤唐辛子を取り除き、ベーコンを加えて炒める。,5
6,パスタの湯で時間残り４分でキャベツを加え一緒に茹でる。茹で汁は残し、パスタをざるに上げる。,6
6,フライパンにキャベツ・パスタを加え、しらすも入れて茹で汁をお玉２杯分加える。,7
6,胡椒・醤油で味を整えたら完成。,8
7,菜の花を塩ゆでし、冷水にとって水気を絞る。,1
7,フライパンでオリーブオイル（分量外）をあたため、アンチョビを入れる。続いて菜の花、塩をして炒める。飾り用に一束とっておく,2
7,パスタを茹で始める。菜の花を茹でた茹で汁を使い、パスタに菜の花の香りをうつす。,3
7,２をフードプロセッサーに移し、オリーブオイルを大さじ１加えて撹拌する。これでソースの完成。,4
7,パスタが茹であがったら、お湯を切ってフライパンに入れる。ソースと茹で汁を大さじ１～２加え、さっとからめる。,5
7,お皿に盛り付け、仕上げにオリーブオイルを回しかければできあがり。,6
8,フライパンにオリーブオイルとにんにくを入れて、弱火でじっくり香りを移します。,1
8,アンチョビ（粗みじん切りしておく）となすを加えて中火で炒めていきます。,2
8,"沸騰したお湯の中に塩辛いと感じるくらい塩を入れてパスタを茹で始めます。 
茹で時間は表示より1分短く。",3
8,なすに軽く火が通ったら☆を加えて一煮立ちさせ、弱火でパスタが茹で上がるまで煮込みます。,4
8,茹で上がったパスタと茹で汁、粉チーズをフライパンに入れて混ぜ合わせます。,5
8,お皿に盛りつけたら、仕上げにブラックペッパーと粉チーズをトッピングして完成です。,6
9,玉ねぎとにんにくはみじん切り、パプリカは２ｃｍ角に切り、フライパンにごま油を引いてにんにくと豆板醤を炒める。,7
9,香りが立ってきたら玉ねぎを加えて軽く炒め、挽肉も加えて炒めてほぼ火が通ったら、パプリカをを加えてよく炒める。,8
9,調味料を加えて混ぜ、バジルを加えて軽く炒めたら、火を止めてご飯に添え、同じフライパンで目玉焼きを焼いて、上からのせる。,9
10,玉ねぎは皮をむいて塩もみし、水洗いしたあとみじん切りにする。にんにく、パセリもみじん切りにする。,1
10,耐熱容器に１を入れ、オリーブオイルを1カップ加える（材料がひたひたになるくらい）,2
10,電子レンジで600W4分加熱する。,3
10,冷めたら冷蔵庫に入れ半日ほど寝かせ、完成。,4
